,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,UNSAFE_ACTION,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
68,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Morning,M
69,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
70,0.0,1.0,Unknown,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
71,0.0,0.0,Middle-aged,Unknown,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Reckless,Straight Ahead,Other,Afternoon,M
72,0.0,1.0,Middle-aged,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,F
73,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Visibility,Unknown,Normal,Afternoon,M
74,0.0,1.0,Adult,Unknown,1.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Turning Maneuver,Normal,Morning,M
75,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Unknown,Normal,Afternoon,M
76,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,RECKLESS,0.0,Skill,Unknown,Normal,Afternoon,M
77,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,,0.0,Skill,Unknown,Normal,Night,M
78,0.0,0.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Night,M
79,0.0,0.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
80,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,,,Unknown,Unknown,Unknown,Afternoon,M
81,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Morning,M
82,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Skill,Straight Ahead,Normal,Morning,M
83,0.0,0.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Afternoon,M
84,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Morning,M
85,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,RECKLESS,0.0,Unknown,Unknown,Normal,Morning,M
86,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
87,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
88,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
89,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
90,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
91,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Below Average Speed,Unknown,Unknown,Skill,Unknown,Normal,Night,M
92,0.0,1.0,Adult,Unknown,1.0,1.0,Adverse Weather,Wet,0,Below Average Speed,Unknown,1.0,Visibility,Unknown,Normal,Night,M
93,1.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,M
94,0.0,0.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Unknown,Unknown,Other,Night,M
95,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,DRIVER ERROR,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
96,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Reckless,Unknown,Normal,Afternoon,F
97,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
98,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,1.0,Reckless,Unknown,Normal,Afternoon,M
99,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
100,0.0,0.0,Adolescent,Unknown,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Afternoon,M
101,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Straight Ahead,Other,Afternoon,F
102,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
103,0.0,0.0,Adult,Unsafe,0.0,1.0,Clear Weather,Wet,1,Average Speed,Unknown,0.0,Unknown,Turning Maneuver,Normal,Morning,M
104,0.0,0.0,Elderly,Safe,0.0,0.0,Adverse Weather,Wet,0,Below Average Speed,Unknown,Unknown,Unknown,Unknown,Impaired,Night,M
105,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,M
106,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Unknown,Unknown,Afternoon,F
107,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Stationary Object Maneuver,Normal,Afternoon,F
108,0.0,1.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Turning Maneuver,Normal,Afternoon,M
109,0.0,0.0,Unknown,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Other,Afternoon,M
110,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,DRIVER ERROR,0.0,Skill,Straight Ahead,Normal,Night,M
111,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,M
112,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Traffic Maneuver,Normal,Morning,M
113,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Night,M
114,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,M
115,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Normal,Afternoon,M
116,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,M
117,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Normal,Afternoon,M
118,0.0,0.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Afternoon,M
119,0.0,0.0,Unknown,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Other,Afternoon,F
120,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Above Average Speed,Unknown,Unknown,Unknown,Unknown,Shaken,Night,M
121,1.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,F
