,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
224,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
225,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
226,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Night,F
227,1.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Other,Night,M
229,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
230,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
232,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,Normal,Night,M
233,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
234,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
235,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
237,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
238,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
239,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Morning,F
240,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Morning,M
241,1.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
244,0.0,1.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
245,1.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
246,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
247,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
248,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,F
249,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
251,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Night,F
252,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
253,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
254,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Early Morning,M
255,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
256,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
257,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
258,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
259,0.0,1.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Other,Morning,M
260,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
261,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
262,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
263,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
264,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
266,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Night,F
267,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
268,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
269,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
